Source,Target,Type,Id,Label,timeset,Weight
foonetic,isotope,Undirected,0,1,,1
foonetic/#xkcd,isotope,Undirected,1,1,,1
economics,singularity,Undirected,2,1,,1
zionism,autonomous,Undirected,3,1,,1
ecoterrorism,elf,Undirected,4,1,,1
ecoterrorism,political,Undirected,5,1,,1
ecoterrorism,front,Undirected,6,1,,1
ecoterrorism,unread,Undirected,7,1,,1
ecoterrorism,sabotage,Undirected,8,1,,1
ecoterrorism,future,Undirected,9,1,,1
ecoterrorism,anonymous,Undirected,10,1,,1
ecoterrorism,environment,Undirected,11,1,,1
ecoterrorism,misc,Undirected,12,1,,1
ecoterrorism,technology,Undirected,13,1,,1
ecoterrorism,terrorist,Undirected,14,1,,1
ecoterrorism,terrorists,Undirected,15,1,,1
ecoterrorism,liberation,Undirected,16,1,,1
ecoterrorism,wiki,Undirected,17,1,,1
ecoterrorism,singularity,Undirected,18,1,,1
ecoterrorism,wikipedia,Undirected,19,1,,1
ecoterrorism,guerilla,Undirected,20,1,,1
ecoterrorism,guerrilla,Undirected,21,1,,1
ecoterrorism,autonomous,Undirected,22,1,,1
ecoterrorism,activism,Undirected,23,1,,1
ecoterrorism,counterterrorism,Undirected,24,1,,1
ecoterrorism,isotope,Undirected,25,1,,1
ecoterrorism,earth,Undirected,26,1,,1
ecoterrorism,economic,Undirected,27,1,,1
!todo,counterterrorism,Undirected,28,1,,1
jar,autonomous,Undirected,29,1,,1
revolution,terrorist,Undirected,30,1,,1
revolution,guerilla,Undirected,31,1,,1
speedterritorycommunication,singularity,Undirected,32,1,,1
cult,singularity,Undirected,33,1,,1
chemistry,isotope,Undirected,34,2,,2
pio,liberation,Undirected,35,1,,1
heroes,terrorist,Undirected,36,1,,1
culture,terrorist,Undirected,37,1,,1
culture,singularity,Undirected,38,2,,2
culture,guerilla,Undirected,39,1,,1
culture,counterterrorism,Undirected,40,1,,1
turundus,guerilla,Undirected,41,1,,1
spirituality,singularity,Undirected,42,2,,2
network,autonomous,Undirected,43,1,,1
tuumajama,isotope,Undirected,44,1,,1
#afterdarkclub,singularity,Undirected,45,1,,1
education,terrorist,Undirected,46,1,,1
networking,autonomous,Undirected,47,1,,1
#lawn,singularity,Undirected,48,1,,1
fortran,elf,Undirected,49,1,,1
fortran:90,elf,Undirected,50,1,,1
neuralnetworks,autonomous,Undirected,51,1,,1
best,singularity,Undirected,52,1,,1
jew,autonomous,Undirected,53,1,,1
bestest,singularity,Undirected,54,1,,1
marketing,guerilla,Undirected,55,1,,1
jewish,autonomous,Undirected,56,1,,1
jewisharabconflict,liberation,Undirected,57,1,,1
jews,autonomous,Undirected,58,1,,1
plants,guerilla,Undirected,59,1,,1
plants,guerrilla,Undirected,60,1,,1
robot,autonomous,Undirected,61,1,,1
robotics,autonomous,Undirected,62,1,,1
new_left,terrorist,Undirected,63,1,,1
fpc,elf,Undirected,64,1,,1
cyberpunk,singularity,Undirected,65,1,,1
cyborg,singularity,Undirected,66,1,,1
cyborgs,singularity,Undirected,67,1,,1
bible,singularity,Undirected,68,1,,1
christianity,singularity,Undirected,69,1,,1
stability,isotope,Undirected,70,1,,1
plo,liberation,Undirected,71,1,,1
stalin,autonomous,Undirected,72,1,,1
ucp,terrorist,Undirected,73,1,,1
ucp,terrorists,Undirected,74,1,,1
history,terrorist,Undirected,75,4,,4
history,terrorists,Undirected,76,1,,1
history,guerilla,Undirected,77,1,,1
history,autonomous,Undirected,78,1,,1
history,counterterrorism,Undirected,79,1,,1
newthing,isotope,Undirected,80,1,,1
**readlater,singularity,Undirected,81,1,,1
cia,counterterrorism,Undirected,82,1,,1
freedom,singularity,Undirected,83,1,,1
point,singularity,Undirected,84,1,,1
bin,terrorist,Undirected,85,1,,1
america,terrorist,Undirected,86,1,,1
america,counterterrorism,Undirected,87,1,,1
american,terrorist,Undirected,88,1,,1
american,guerilla,Undirected,89,1,,1
hn_links,guerilla,Undirected,90,1,,1
elements,isotope,Undirected,91,1,,1
mathematics,isotope,Undirected,92,1,,1
judaism,autonomous,Undirected,93,1,,1
elf,political,Undirected,94,1,,1
elf,front,Undirected,95,1,,1
elf,unread,Undirected,96,1,,1
elf,sabotage,Undirected,97,1,,1
elf,future,Undirected,98,1,,1
elf,debug,Undirected,99,1,,1
elf,debugging,Undirected,100,1,,1
elf,anonymous,Undirected,101,1,,1
elf,environment,Undirected,102,1,,1
elf,gcc,Undirected,103,1,,1
elf,programming,Undirected,104,1,,1
elf,development,Undirected,105,1,,1
elf,misc,Undirected,106,1,,1
elf,compiler,Undirected,107,1,,1
elf,technology,Undirected,108,1,,1
elf,terrorist,Undirected,109,1,,1
elf,terrorists,Undirected,110,1,,1
elf,liberation,Undirected,111,1,,1
elf,c++,Undirected,112,1,,1
elf,wiki,Undirected,113,1,,1
elf,linkersandloaders,Undirected,114,1,,1
elf,linux,Undirected,115,1,,1
elf,singularity,Undirected,116,1,,1
elf,wikipedia,Undirected,117,1,,1
elf,guerilla,Undirected,118,1,,1
elf,guerrilla,Undirected,119,1,,1
elf,autonomous,Undirected,120,1,,1
elf,activism,Undirected,121,1,,1
elf,file_formats,Undirected,122,1,,1
elf,counterterrorism,Undirected,123,1,,1
elf,work,Undirected,124,1,,1
elf,dwarf,Undirected,125,1,,1
elf,isotope,Undirected,126,1,,1
elf,earth,Undirected,127,1,,1
elf,economic,Undirected,128,1,,1
biodiversity,guerilla,Undirected,129,1,,1
biodiversity,guerrilla,Undirected,130,1,,1
rpm,autonomous,Undirected,131,1,,1
political,front,Undirected,132,1,,1
political,sabotage,Undirected,133,1,,1
political,terrorist,Undirected,134,1,,1
political,terrorists,Undirected,135,1,,1
political,liberation,Undirected,136,1,,1
political,singularity,Undirected,137,1,,1
political,guerilla,Undirected,138,1,,1
political,guerrilla,Undirected,139,1,,1
political,autonomous,Undirected,140,1,,1
political,counterterrorism,Undirected,141,1,,1
political,isotope,Undirected,142,1,,1
matrix,singularity,Undirected,143,1,,1
political-terms,sabotage,Undirected,144,1,,1
biography,terrorist,Undirected,145,1,,1
darpa,autonomous,Undirected,146,1,,1
politics,sabotage,Undirected,147,1,,1
politics,terrorist,Undirected,148,2,,2
politics,singularity,Undirected,149,1,,1
politics,guerilla,Undirected,150,2,,2
politics,guerrilla,Undirected,151,1,,1
politics,autonomous,Undirected,152,1,,1
politics,counterterrorism,Undirected,153,1,,1
cities,guerilla,Undirected,154,1,,1
cities,guerrilla,Undirected,155,1,,1
stim,singularity,Undirected,156,1,,1
front,unread,Undirected,157,1,,1
front,sabotage,Undirected,158,1,,1
front,future,Undirected,159,1,,1
front,anonymous,Undirected,160,1,,1
front,environment,Undirected,161,1,,1
front,misc,Undirected,162,1,,1
front,technology,Undirected,163,1,,1
front,terrorist,Undirected,164,1,,1
front,terrorists,Undirected,165,1,,1
front,liberation,Undirected,166,1,,1
front,wiki,Undirected,167,1,,1
front,singularity,Undirected,168,1,,1
front,wikipedia,Undirected,169,1,,1
front,guerilla,Undirected,170,1,,1
front,guerrilla,Undirected,171,1,,1
front,autonomous,Undirected,172,1,,1
